Title,URL,Overview,Category,Sub-Category,Course Type,Skills,Instructors,Rating,Number of viewers,Duration,Level,Softwares
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,Specialization,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ","IBM Security Learning Services ,",4.6stars,"4,996",Approximately 5 months to complete,Beginner,
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,Specialization,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ","Rav Ahuja ,Lin Joyner ,Bethany Hudnutt ,Sam Prokopchuk ,Ramesh Sannareddy ,Upkar Lidder ,Joseph Santarcangelo ,",4.7stars,201,Approximately 5 months to complete,Beginner,
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,,Computer Science,Design and Product,Specialization,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ","John Rofrano ,Rav Ahuja ,",4.8stars,625,Approximately 4 months to complete,Beginner,
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,Specialization,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ","Rav Ahuja ,Upkar Lidder ,Michelle Saltoun ,Sachin Jambur ,",4.5stars,342,Approximately 6 months to complete,Beginner,
Python for Everybody Specialization,https://www.coursera.org/specializations/python,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,Specialization,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ","Charles Russell Severance ,",4.8stars,"202,757",Approximately 8 months to complete,Beginner,
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,Specialization,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ","Skills Network ,Rav Ahuja ,",4.8stars,278,Approximately 7 months to complete,Beginner,
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,"Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,Specialization,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ","Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",4.6stars,210,Approximately 5 months to complete,Beginner,
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,Specialization,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ","Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,",4.6stars,"4,787",Approximately 4 months to complete,Intermediate,
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,Specialization,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ","Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",4.7stars,"17,404",Approximately 7 months to complete,Beginner,
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,Specialization,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ","Taught by Meta Staff ,",4.8stars,564,Approximately 8 months to complete,Beginner,
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you'll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,Specialization,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ","Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",4.5stars,369,Approximately 3 months to complete,Intermediate,
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",4.4stars,"1,753",Approximately 5 months to complete,Beginner,
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,,Data Science,Data Analysis,Specialization,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ","Rav Ahuja ,Antonio Cangiano ,",4.7stars,"2,218",Approximately 3 months to complete,Beginner,
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,,Business,Finance,Specialization,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ","Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",4.5stars,"2,412",Approximately 4 months to complete,Beginner,
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",4.7stars,"2,780",Approximately 4 months to complete,Intermediate,
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",4.5stars,"7,555",Approximately 6 months to complete,Beginner,
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",4.6stars,"15,725",Approximately 6 months to complete,Beginner,
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",4.9stars,"42,571",Approximately 6 months to complete,Beginner,
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,,Data Science,Data Analysis,Specialization,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ","Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",4.5stars,"8,649",Approximately 4 months to complete,Beginner,
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,"ESG, Investment, Climate Change, Finance, social activism, ","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",4.7stars,643,Approximately 4 months to complete,Beginner,
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,Specialization,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ","Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",4.7stars,169,Approximately 4 months to complete,Beginner,
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,Specialization,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ","Alex Cowan ,",4.8stars,"2,681",Approximately 5 months to complete,Beginner,
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,,Business,Leadership and Management,Specialization,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ","Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,",4.7stars,"2,699",Approximately 4 months to complete,Beginner,
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,Specialization,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ","Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",4.7stars,"15,224",Approximately 6 months to complete,Beginner,
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,Specialization,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ","IBM Security Learning Services ,",4.8stars,749,Approximately 4 months to complete,Beginner,
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,Specialization,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ","Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",4.8stars,"15,297",Approximately 5 months to complete,Beginner,
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,Specialization,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ","Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",4.8stars,"4,764",Approximately 6 months to complete,Beginner,
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,Specialization,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ","Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",4.8stars,"6,479",Approximately 5 months to complete,Beginner,
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Science,Data Analysis,Specialization,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",4.5stars,"38,510",Approximately 11 months to complete,Beginner,
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business,Business Essentials,Specialization,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ","Rudolf Leuschner, Ph.D. ,",4.8stars,"11,037",Approximately 6 months to complete,Beginner,
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,,Business,Business Essentials,Specialization,"Investment Management, Cryptocurrency, regulation, Blockchain, ","Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,",4.6stars,"3,316",Approximately 4 months to complete,Beginner,
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business,Business Essentials,Specialization,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, "," Microsoft ,",4.7stars,"1,123",Approximately 5 months to complete,Beginner,
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Become an SEO Expert. Master search engine optimization tools and strategies,Business,Marketing,Specialization,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ","Rebekah May ,Eric Enge ,",4.7stars,"10,289",Approximately 5 months to complete,Beginner,
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Data Science,Machine Learning,Specialization,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ","Jon Reifschneider ,",4.7stars,165,Approximately 4 months to complete,Beginner,
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Computer Science,Software Development,Specialization,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ","Brandon Krakowsky ,",4.4stars,960,Approximately 4 months to complete,Beginner,
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Business,Leadership and Management,Specialization,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ","Ibrahim Odeh, Ph.D., MBA ,",4.8stars,"6,900",Approximately 7 months to complete,Beginner,
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM's experts.,Data Science,Data Analysis,Specialization,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ","Joseph Santarcangelo ,Svitlana (Lana) Kramar ,Mark J Grover ,Miguel Maldonado ,Yan Luo ,Xintong Li ,",4.7stars,251,Approximately 6 months to complete,Intermediate,
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Business,Business Essentials,Specialization,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ","Alex Mannella ,",4.7stars,"9,541",Approximately 6 months to complete,Beginner,
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,,Information Technology,Cloud Computing,Specialization,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ","Morgan Willis ,Seph Robinson ,Rudy Chetty ,Hong Pham ,Alex G. ,Wes Gruver ,Bobbie Atristain ,Rick Hurst ,Adam Becker ,",4.6stars,"10,966",Approximately 5 months to complete,Beginner,
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,,Data Science,Data Analysis,Specialization,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",4.6stars,"5,839",Approximately 5 months to complete,Beginner,
Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,Computer Science,Software Development,Specialization,"Json, Computer Programming, Python Programming, Sorting, ","Paul Resnick ,Steve Oney ,Christopher Brooks ,",4.7stars,"15,871",Approximately 5 months to complete,Beginner,
Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,Data Science,Machine Learning,Specialization,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ","Martha White ,Adam White ,",4.8stars,"2,965",Approximately 5 months to complete,Intermediate,
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Computer Science,Algorithms,Specialization,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ","Wade Fagen-Ulmschneider ,",4.7stars,"2,340",Approximately 3 months to complete,Intermediate,
Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",Business,Marketing,Specialization,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ","Aric Rindfleisch ,Kevin Hartman ,Mike Yao ,Vishal Sachdev ,",4.6stars,"16,501",Approximately 8 months to complete,Beginner,
